speaker_id,speeches,party_id,party_name,county,orientation,sex,x0,x1,cluster,speeches_cleaned
#JoséMaríaFigaredoÁlvarezSala,Madam President I call on Rule 72 on a point of order Previously it was said in plenary that the Bureau of Congress had no record that certain appeals had been brought before the Constitutional Court for the processing of this rule which we are now voting on The Bureau of Congress is now on record because it has been notified And again we reiterate the request that this vote be suspended until the Constitutional Court has deliberated on the matter subject to the penalty of emptying a hypothetical decision of the Constitutional Court,#party.Vox,Vox,ES,#orientation.RRF,M,-26.435097,-6.1377554,38,madam president call rule 72 point order previously said plenary bureau congress record certain appeals brought constitutional court processing rule voting bureau congress record notified reiterate request vote suspended constitutional court deliberated matter subject penalty emptying hypothetical decision constitutional court
#IvánEspinosaDeLosMonterosDeSimón,I am asking for the floor under Rule 72 1 and 2 of the Rules of Procedure of the House pursuant to which I requested the reading of Article 166 of the Constitution This is because two parliamentary groups in this House have submitted their appeals to the Constitutional Court on the understanding that Amendments 61 and 62 incorporated into the text of the proposed law which is intended to be debated in this plenary imply a spurious reform of the provisions of Article 159.3 of the Constitution so that the court is urged to take very precautionary measures It therefore requested that this plenary should be postponed until the Constitutional Court had ruled on these very precautionary measures,#party.Vox,Vox,ES,#orientation.RRF,M,-24.896824,-7.2579427,38,asking floor rule 72 1 2 rules procedure house pursuant requested reading article 166 constitution two parliamentary groups house submitted appeals constitutional court understanding amendments 61 62 incorporated text proposed law intended debated plenary imply spurious reform provisions article 159.3 constitution court urged take precautionary measures therefore requested plenary postponed constitutional court ruled precautionary measures
#IvánEspinosaDeLosMonterosDeSimón,Article 166 of the Constitution states that the constitutional reform initiative shall be carried out in accordance with the terms of Article 87 1 and 2 which is precisely why we call for the suspension of this plenary until the Constitutional Court is determined on the very precautionary measures that the People 's Party and the VOX Parliamentary Group have requested,#party.Vox,Vox,ES,#orientation.RRF,M,-24.889698,-7.220357,38,article 166 constitution states constitutional reform initiative shall carried accordance terms article 87 1 2 precisely call suspension plenary constitutional court determined precautionary measures people 's party vox parliamentary group requested
#LaRussaIgnazio,I inform the Assembly that at the beginning of the sitting the President of the Movimento 5 Star Group sent pursuant to Rule 113 2 of the Rules of Procedure the request for an electronic vote for all votes to be taken during the sitting The request is accepted pursuant to Rule 113 2 of the Rules of Procedure,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-25.777948,-2.2443647,38,inform assembly beginning sitting president movimento 5 star group sent pursuant rule 113 2 rules procedure request electronic vote votes taken sitting request accepted pursuant rule 113 2 rules procedure
#LaRussaIgnazio,As established by the Conference of Leaders I refer the continuation of the discussion of the draft law to another sitting I 'm suspending the session The sitting was suspended at 12.58 p.m. and resumed at 3.07 p.m.,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-28.984325,-0.814814,38,established conference leaders refer continuation discussion draft law another sitting 'm suspending session sitting suspended 12.58 p.m. resumed 3.07 p.m.
#LaRussaIgnazio,The government representative does not intend to intervene I would like to say that the Presidency and it is being distributed has received the opinion of the 5th standing Commission on the draft law under consideration and the amendment which will be published in an annex to today 's report Pending the expiry of the sitting of 20 minutes from the beginning of Rule 119 of the Rules of Procedure I suspend the sitting The sitting was suspended at 9.40 a.m. and resumed at 9.52 p.m. I refer to the roll call vote by simultaneous ballot of Article 1 The vote was followed The Senate approves See Annex B I refer to the roll call vote by simultaneous ballot of Rule 2 The vote was followed The Senate approves See Annex B We shall now proceed to the examination of Article 3 on which an amendment has been tabled which is intended to be presented on which I invite the rapporteur and the representative of the Government to give their views,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-30.940966,-4.5428696,38,government representative intend intervene would like say presidency distributed received opinion 5th standing commission draft law consideration amendment published annex today 's report pending expiry sitting 20 minutes beginning rule 119 rules procedure suspend sitting sitting suspended 9.40 a.m. resumed 9.52 p.m. refer roll call vote simultaneous ballot article 1 vote followed senate approves see annex b refer roll call vote simultaneous ballot rule 2 vote followed senate approves see annex b shall proceed examination article 3 amendment tabled intended presented invite rapporteur representative government give views
#LaRussaIgnazio,I refer to the roll call vote by simultaneous ballot of the bill as a whole in the amended text The vote was followed The Senate approves See Annex B At this point ladies and gentlemen we should suspend work on the sanitisation of the House If there are no contraindications however I would anticipate the speeches on subjects not on the agenda and then suspend and resume work at 12 noon,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-28.614439,-5.095231,38,refer roll call vote simultaneous ballot bill whole amended text vote followed senate approves see annex b point ladies gentlemen suspend work sanitisation house contraindications however would anticipate speeches subjects agenda suspend resume work 12 noon
#LaRussaIgnazio,The government representative does not intend to intervene I would like to inform you that the Presidency and I am distributing it has received the opinions of the 1st and 5th standing Commission on the draft law under consideration which will be published in the annex to today 's report Having not yet completed the twenty minute period provided for in Rule 119 1 of the Rules of Procedure I suspend the sitting until 5 p.m The sitting was suspended at 4.50 p.m. and resumed at 5 p.m.,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-31.122236,-2.9417303,38,government representative intend intervene would like inform presidency distributing received opinions 1st 5th standing commission draft law consideration published annex today 's report yet completed twenty minute period provided rule 119 1 rules procedure suspend sitting 5 p.m sitting suspended 4.50 p.m. resumed 5 p.m.
#LaRussaIgnazio,I inform the Assembly that at the beginning of the sitting the President of the Movimento 5 Star Group sent pursuant to Rule 113 2 of the Rules of Procedure the request for an electronic vote for all votes to be taken during the sitting The request is accepted pursuant to Rule 113 2 of the Rules of Procedure Ladies and gentlemen today 's agenda provides for the discussion of the bill of conversion of Decree Law No 115 of 9 August 2022 on urgent measures in the field of energy water emergency social and industrial policies As you know the Commissions meeting 5a and 6a have some problems in defining their work I therefore ask the President of the 5th Permanent Commission Senator Pesco to refer to them,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-25.467575,-2.3622754,38,inform assembly beginning sitting president movimento 5 star group sent pursuant rule 113 2 rules procedure request electronic vote votes taken sitting request accepted pursuant rule 113 2 rules procedure ladies gentlemen today 's agenda provides discussion bill conversion decree law 115 9 august 2022 urgent measures field energy water emergency social industrial policies know commissions meeting 5a 6a problems defining work therefore ask president 5th permanent commission senator pesco refer
#LaRussaIgnazio,I inform the Assembly that at the beginning of the sitting the President of the Movimento 5 Star Group sent pursuant to Rule 113 2 of the Rules of Procedure the request for an electronic vote for all votes to be taken during the sitting The request is accepted pursuant to Rule 113 2 of the Rules of Procedure Ladies and gentlemen since the Committee on the Rules of Procedure has not yet finished its examination of the amendments tabled to the reform of the Rules of Procedure of the Senate I suspend the sitting which will resume at 4.30 p.m. with the debate on motions for resolutions on the crisis in cinemas The sitting was suspended at 9.35 a.m. and resumed at 4.30 p.m.,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-26.578798,-1.8701874,38,inform assembly beginning sitting president movimento 5 star group sent pursuant rule 113 2 rules procedure request electronic vote votes taken sitting request accepted pursuant rule 113 2 rules procedure ladies gentlemen since committee rules procedure yet finished examination amendments tabled reform rules procedure senate suspend sitting resume 4.30 p.m. debate motions resolutions crisis cinemas sitting suspended 9.35 a.m. resumed 4.30 p.m.
