speaker_id,speeches,party_id,party_name,county,orientation,sex,x0,x1,cluster
#MalanLucio,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#UrsoAdolfo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#UrsoAdolfo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#IwobiTonyChike,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#BalboniAlberto,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,27.119837,61.050526,6
#RomeoMassimiliano,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RomeoMassimiliano,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RomeoMassimiliano,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RomeoMassimiliano,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RomeoMassimiliano,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#BriziarelliLuca,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#AugussoriLuigi,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#AugussoriLuigi,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#AugussoriLuigi,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#AugussoriLuigi,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#AugussoriLuigi,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#ZaffiniFrancesco,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#ZaffiniFrancesco,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#ZaffiniFrancesco,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#ZaffiniFrancesco,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#ZaffiniFrancesco,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#MarinRaffaellaFiormaria,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,F,-6.4317336,68.25358,6
#MarinRaffaellaFiormaria,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,F,-6.4317336,68.25358,6
#VallardiGianpaolo,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#VallardiGianpaolo,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#VallardiGianpaolo,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#ZulianiCristiano,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#DeCarloLuca,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#DeCarloLuca,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RufaGianfranco,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RufaGianfranco,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#LaPietraPatrizioGiacomo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#BergesioGiorgioMaria,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#BergesioGiorgioMaria,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#GarneroSantancheDaniela,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,F,-6.4317336,68.25358,6
#GarneroSantancheDaniela,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,F,-6.4317336,68.25358,6
#BagnaiAlberto,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#BagnaiAlberto,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#BagnaiAlberto,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PillonSimone,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#VescoviManuel,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PergreffiSimona,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,F,-6.4317336,68.25358,6
#CortiStefano,I ask you to speak for an explanation of vote,#group.L-SP-PSd.Az,Lega-Salvini Premier-Partito Sardo d'Azione,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RuspandiniMassimo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RuspandiniMassimo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#RuspandiniMassimo,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PellegriniEmanuele,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PellegriniEmanuele,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PellegriniEmanuele,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PirovanoDaisy,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,F,-6.4317336,68.25358,6
#BruzzoneFrancesco,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#MaffoniGianpietro,I ask you to speak for an explanation of vote,#group.FdI,Fratelli d'Italia,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#PittoniMario,I ask you to speak for an explanation of vote,#group.L-SP,Lega-Salvini Premier,IT,#orientation.RRF,M,-6.4317336,68.25358,6
#DoriaCarlo,I ask you to speak for an explanation of vote,#group.L-SP-PSd.Az,Lega-Salvini Premier-Partito Sardo d'Azione,IT,#orientation.RRF,M,-6.4317336,68.25358,6
